txHash,id,image,class,chain,name,birthDate,bodyShape,sireId,sireClass,matronId,matronClass,stage,title,breedCount,level,hp,speed,skill,morale,from,to,timestamp,withPrice
0xcbe21011a8ee08a8716d4fd5c3db62144b7a150181f620cd57d94abaf891cf14,3614515,https://storage.googleapis.com/assets.axieinfinity.com/axies/3614515/axie/axie-full-transparent.png,Plant,ronin,Backline Tank,1628274410,Normal,42331,Plant,42214,Plant,4,,1,1,58,36,31,39,0x305745d701db9a26d4921eff01f0941022e151d2,0x98335b7655861fe65b94453944223b7c1853cb25,1631737625,0.043
0x568886639605aaa3ff67947d5e5b6d2e3fd3f0e249470a8c9e144135c4da8faf,4970528,https://storage.googleapis.com/assets.axieinfinity.com/axies/4970528/axie/axie-full-transparent.png,Aquatic,ronin,DAMAGE GAIN,1629899165,Normal,57115,Aquatic,2503,Aquatic,4,,0,1,46,54,35,29,0xfc3d042de8f86da5fc2cc3b3bbd349188d13be04,0xcfefba4d2ab8f91025dcd7e9b62078572a955829,1630606160,0.05001094
0x2b4fcdb98f9fa39c2c2f0fe8c0ca28367ec3bacf0a95d9ac5d22ee489a862622,72078,https://storage.googleapis.com/assets.axieinfinity.com/axies/72078/axie/axie-full-transparent.png,Plant,ronin,LOW ID #72078,1561385058,Normal,2651,Plant,58676,Plant,4,,5,1,57,37,31,39,0xf4aa38171f15adbcf0924f7f342bdb82ee6c33ba,0xe388594e05663c778c942b7dff8649b2295f216d,1594279610,0.025
0x21a8a5510b23b296afe758add21f4b4a074ca9cf1f4728b06e73fd89adfd8add,72078,https://storage.googleapis.com/assets.axieinfinity.com/axies/72078/axie/axie-full-transparent.png,Plant,ronin,LOW ID #72078,1561385058,Normal,2651,Plant,58676,Plant,4,,5,1,57,37,31,39,0x4a13d9b351adf9cee395cf7bb7c92849e0d811a0,0xf4aa38171f15adbcf0924f7f342bdb82ee6c33ba,1594182246,0.0217
0xa62009e749395f4ca196f510a367ffb31a32d86825b2a44af81f63cce49b160f,72078,https://storage.googleapis.com/assets.axieinfinity.com/axies/72078/axie/axie-full-transparent.png,Plant,ronin,LOW ID #72078,1561385058,Normal,2651,Plant,58676,Plant,4,,5,1,57,37,31,39,0xe10b91ff5b30ed7df1f727ce7e7987682811f199,0x4a13d9b351adf9cee395cf7bb7c92849e0d811a0,1586284026,0.0149
0x45640ca31feeb775bf6b9863c83cabb9adef8dbda3d5ee02dd67fcc0ad05bce7,72078,https://storage.googleapis.com/assets.axieinfinity.com/axies/72078/axie/axie-full-transparent.png,Plant,ronin,LOW ID #72078,1561385058,Normal,2651,Plant,58676,Plant,4,,5,1,57,37,31,39,0x467aa133909c0a1d7b6c726ac29418b0e73cc343,0xe10b91ff5b30ed7df1f727ce7e7987682811f199,1586186232,0.015000001
0xd2c2cb989b6739449c7f8b677aa3b4ae6a1fadf7eaf157cb25c310fe3e1d111b,72078,https://storage.googleapis.com/assets.axieinfinity.com/axies/72078/axie/axie-full-transparent.png,Plant,ronin,LOW ID #72078,1561385058,Normal,2651,Plant,58676,Plant,4,,5,1,57,37,31,39,0xcb5c0d33d92e4910daa24825db8af9b64e17c33c,0xcb132be5b782424f88514df7992d0687203a9c33,1579031572,0.020000001
0x378e2c2a470793e08881bb0457cb41d825f818aca57c10f6ac5d61867eb062d2,5608746,https://storage.googleapis.com/assets.axieinfinity.com/axies/5608746/axie/axie-full-transparent.png,Plant,ronin,2200+MMR Poison Plant,1630907265,Normal,51080,Plant,51175,Plant,4,,4,1,55,31,31,47,0x2b407c2c80fe53a86d0091ada6715cae126faaa4,0x21e24d8277831c5f89b0e2ce0bbf991196189122,1631448448,0.115
0x954a52321d3f7433bbde7460cc418f8e6bcee0b8480843f33232db0f86446bc1,5901595,https://storage.googleapis.com/assets.axieinfinity.com/axies/5901595/axie/axie-full-transparent.png,Bug,ronin,Fast Meta 2Discard breed0,1631326597,Normal,22401,Bug,39419,Bug,4,,0,1,40,34,35,55,0xd5d2a1010fadf7ff369cc90d6e078e5042a52a7a,0xe4d431bdfa05186b9834fc0bbcaf8eb98dae3814,1631900465,0.14
0x38f6aefa78cb66bc0e176a468dae57c38eb1f8f4bc14d4db8713ffc8f30a3a16,5901595,https://storage.googleapis.com/assets.axieinfinity.com/axies/5901595/axie/axie-full-transparent.png,Bug,ronin,Fast Meta 2Discard breed0,1631326597,Normal,22401,Bug,39419,Bug,4,,0,1,40,34,35,55,0xc1e43ca368a623b90944c8645faf3996980f6dfd,0xd5d2a1010fadf7ff369cc90d6e078e5042a52a7a,1631851655,0.1015
0x4ac4280d2c7936e5d6ceb4a770dff9af917a8526e0334dc5f66ba90c53a898b5,4426034,https://storage.googleapis.com/assets.axieinfinity.com/axies/4426034/axie/axie-full-transparent.png,Reptile,ronin,Axie #4426034,1629176313,Normal,30719,Reptile,24252,Reptile,4,,1,1,46,40,31,47,0xaf80ea67f2f1c636c73510c5466a0069da290d85,0xd6a0a107aafc27acdc7f0cc0e9e2562f50a2e532,1630448721,0.07131438
