txHash,id,image,class,chain,name,birthDate,bodyShape,sireId,sireClass,matronId,matronClass,stage,title,breedCount,level,hp,speed,skill,morale,from,to,timestamp,withPrice,withPriceUsd
0x2e6ac16681a1f150c95330347c07e3d46895687e550e338f618185ddcd47ec84,264078,https://storage.googleapis.com/assets.axieinfinity.com/axies/264078/axie/axie-full-transparent.png,Beast,ronin,BSA Beast,1617451907,Fuzzy,64438,Beast,58933,Beast,4,,4,1,31,41,31,61,0xc1a932acc75951a1269a24c953a4e2100c3d7e11,0xafed7325847600b38d3d26756800e9d91c2e0473,1622936100,0.3,943.1632499999998
0x68b1dfcdb1d4de2eba36f84edec83fdc1da99c602e387dcbf0aa23f03482600f,264078,https://storage.googleapis.com/assets.axieinfinity.com/axies/264078/axie/axie-full-transparent.png,Beast,ronin,BSA Beast,1617451907,Fuzzy,64438,Beast,58933,Beast,4,,4,1,31,41,31,61,0x8a3187fb7e72c4eeb249da323b6d9a6521a68b85,0xc1a932acc75951a1269a24c953a4e2100c3d7e11,1622228843,0.17500001,550.1785624999999
0xc02560745ef1136187a18e9582e0bb4b2408a7d54314ac9c7facc27fc595e481,6261064,https://storage.googleapis.com/assets.axieinfinity.com/axies/6261064/axie/axie-full-transparent.png,Plant,ronin,YZ - Mumbo Jumboo,1631891159,Sumo,15844,Plant,25524,Plant,4,,0,1,58,32,31,43,0xf4987ce68ed3e934fa02ccc7e019059021938d66,0xcdf7b8e24317c725e2596371d587d53e43dd81a6,1632365231,0.05,157.193875
0xd3153eb7b5a03392f20b67f2f5bbe276ab2f799e42e56162b22adbfdad1cbc9c,5974849,https://storage.googleapis.com/assets.axieinfinity.com/axies/5974849/axie/axie-full-transparent.png,Dusk,ronin,Team 4 | C.E.G | 3K MMR,1631428864,Normal,65355,Dusk,20018,Reptile,4,,6,1,53,47,27,37,0x022e366195293ec14d14b7eabe3d2bdc633ba1cb,0xdf3b4d8bf361a9804efe2267deb239e2fc2def42,1632423792,0.20799999,653.9265199999999
0x4a694a92de5a0d5bbab9b3b62bc7b5942c939a47fcf2d850d29fa71421b73f89,5974849,https://storage.googleapis.com/assets.axieinfinity.com/axies/5974849/axie/axie-full-transparent.png,Dusk,ronin,Team 4 | C.E.G | 3K MMR,1631428864,Normal,65355,Dusk,20018,Reptile,4,,6,1,53,47,27,37,0x807bc096c12da0f616b68126187bfb1aeff962c3,0x022e366195293ec14d14b7eabe3d2bdc633ba1cb,1631940767,0.19371875,609.0280194531249
0x6000d590e584d3d8435722311ddccc05b916fec6e9363e3f20f63ba2b14f65b3,3082586,https://storage.googleapis.com/assets.axieinfinity.com/axies/3082586/axie/axie-full-transparent.png,Beast,ronin,Mr. Tooth Decay,1627669713,Normal,2789,Beast,58371,Beast,4,,4,1,34,41,31,58,0x51767944d0002db39d416904315f186b49dbefe8,0xfd040ee153ee55127d9b173f38046c40323f756c,1632314807,0.1,314.38775
0x184897e1aceb5565138bdf6d04044219d1f931ced689f42d16970e63869d7472,3082586,https://storage.googleapis.com/assets.axieinfinity.com/axies/3082586/axie/axie-full-transparent.png,Beast,ronin,Mr. Tooth Decay,1627669713,Normal,2789,Beast,58371,Beast,4,,4,1,34,41,31,58,0x977810e50096d12134e92f54e9ad8a3256e16422,0x92fd7560a9c319b74be8858a1baca9127ded10bb,1628752806,0.35000002,1100.3571249999998
0x0c691128170089c32fcb8e51ca1b1b0f733e49da9f0575e5e78191f145bf87e6,3032826,https://storage.googleapis.com/assets.axieinfinity.com/axies/3032826/axie/axie-full-transparent.png,Bird,ronin,Birdie,1627616142,Normal,45568,Bird,26414,Bird,4,,3,1,27,61,35,41,0x522266b22065db9c665b1b74619ef98f5e0f662e,0xfb1510a55eefdd42d48f62233cddb1e1e1bdeb20,1628118069,0.22388473,703.8661407881943
0x4aa9f44b17928b44bc64daa1a5c097974172198dfdc828ca5afd617825d1fbfe,1083761,https://storage.googleapis.com/assets.axieinfinity.com/axies/1083761/axie/axie-full-transparent.png,Bird,ronin,Backdoor,1624644980,Normal,44003,Bird,9533,Bird,4,,3,1,28,58,35,43,0xb3e4e964306e9e5fb10af5de37fec0d8b69d494b,0xba91d13902fdf3c81266ba092a0b021c2acc3c64,1625802018,0.1999,628.4611122499999
0xcd1e98f7ad6eb3411d3b2976cf2029cd2b064043fea709d8a24a9aa69b7643bf,6008964,https://storage.googleapis.com/assets.axieinfinity.com/axies/6008964/axie/axie-full-transparent.png,Reptile,ronin,LATEGAME MONSTER,1631473723,Normal,62563,Reptile,62368,Reptile,4,,0,1,53,42,31,38,0xe3dab5edf8f40cbe85d432fe2480a5c6893dc990,0x4bc110f68b5cfd78d3b4e4569a36a234a2b0197e,1632423888,0.05190176,163.17277314560184
