,id,image,class,chain,name,birthDate,bodyShape,sireId,sireClass,matronId,matronClass,stage,title,breedCount,level,hp,speed,skill,morale,from,to,timestamp,txHash,withPrice
11,4386,https://storage.googleapis.com/assets.axieinfinity.com/axies/4386/axie/axie-full-transparent.png,Beast,ronin,Axie #4386,1528756808,Normal,0,,0,,4,MEO Corp,0,1,39,40,31,54,0xbdfb33cb576a15712a8779521b245124e67a0faa,0x665498c14f80647d2a57a1f54eee4aaa9920fae8,1598945131,0x1cf6c6d2ceb7c3b6daafbe64e2c64363a1d51d7521cbf9797abdeb1111be9143,0.95
12,4387,https://storage.googleapis.com/assets.axieinfinity.com/axies/4387/axie/axie-full-transparent.png,Beast,ronin,Yellow Meow,1528756856,Normal,0,,0,,4,MEO Corp,0,1,41,39,31,53,0xbdfb33cb576a15712a8779521b245124e67a0faa,0x9260ae742f44b7a2e9472f5c299aa0432b3502fa,1601417989,0x3bf8ca26ffde682c7e859385cd3093a3164630a781d659abb6cef91f28747c28,0.90000004
13,4388,https://storage.googleapis.com/assets.axieinfinity.com/axies/4388/axie/axie-full-transparent.png,Beast,ronin,Ex's new baby :),1528756885,Normal,0,,0,,4,MEO Corp,7,1,43,36,31,54,0xbdfb33cb576a15712a8779521b245124e67a0faa,0x90b298f5ff8a52d15c2709087f327af698fe9729,1529931482,0xac732d92a4c14730d1bb38bd40ad6ee00c636c364b1a30e6138d50d9c05c6f6a,0.095000006
14,4390,https://storage.googleapis.com/assets.axieinfinity.com/axies/4390/axie/axie-full-transparent.png,Beast,ronin,Axie #4390,1528766000,Normal,0,,0,,4,MEO Corp,1,1,39,42,31,52,0xb3c1f93ffe026eee9f59c5c66b49ffce38aebada,0x19b76e072dcb799db67a66c3a020a9d94589dc32,1625963123,0x3649fbe3519be5aefbf2752740c3ca1ef06777cc347a92a0ab5d38f13854f173,2.1000001
15,4391,https://storage.googleapis.com/assets.axieinfinity.com/axies/4391/axie/axie-full-transparent.png,Beast,ronin,Axie #4391,1528766226,Normal,0,,0,,4,MEO Corp,1,1,36,44,31,53,0xb3c1f93ffe026eee9f59c5c66b49ffce38aebada,0x9b2befdf2e42d1c961b48ffb6f65f650e532fa7b,1625521648,0x2db662d0d97a90548519d1f19eba6b7f2f9dd4ab592f8a285447757ce63ce1f0,0.65000004
16,4398,https://storage.googleapis.com/assets.axieinfinity.com/axies/4398/axie/axie-full-transparent.png,Aquatic,ronin,Axie #4398,1528786530,Normal,2699,Plant,3789,Aquatic,4,,0,1,45,47,35,37,0xcb36db6d41ee624fd51e0bc13f02a47f6337b80b,0xa5a23b6fa4cd840089a38ec00d83a464527a402d,1624702400,0x06de06222e198839c52680229378da12e5b04e10fd40f58353beb78432a9fe7a,0.25
17,4399,https://storage.googleapis.com/assets.axieinfinity.com/axies/4399/axie/axie-full-transparent.png,Bug,ronin,Axie #4399,1528790926,Normal,4174,Bug,4177,Bug,4,,6,1,44,33,35,52,0x665498c14f80647d2a57a1f54eee4aaa9920fae8,0x08797952462b82db639ddbfdef2ab1718ffa7676,1532559883,0x22b00c7cd926571ae1c0b2e1c00691a6ded01e71ca56b4391829a1880f139009,0.1102447
18,4403,https://storage.googleapis.com/assets.axieinfinity.com/axies/4403/axie/axie-full-transparent.png,Aquatic,ronin,Axie #4403,1528801222,Normal,0,,0,,4,MEO Corp,0,1,44,50,35,35,0x7c22564ed22d398192bf38008228d64eb72765db,0x8805c680b191a244fb41a8d475e6fe33031396e4,1535926068,0xd2b35e7ef81f94b25ee5842395f00ce96e58b4b957e5502cfbc3d94f42683ab5,0.1
19,4406,https://storage.googleapis.com/assets.axieinfinity.com/axies/4406/axie/axie-full-transparent.png,Aquatic,ronin,diamond owl,1528832494,Fuzzy,0,,0,,4,MEO Corp,0,1,47,48,35,34,0x52af787439a82f36d6ef6b0da0f0e5ecce29ff90,0xf3daf6e99bdf5254d1cde191b312a4226e598f40,1529339175,0xeb4e95e05ea5402db63a8649961c0fff9494e4590afb3619cb637202c2d1254b,0.6762722
20,4409,https://storage.googleapis.com/assets.axieinfinity.com/axies/4409/axie/axie-full-transparent.png,Beast,ronin,Axie #4409,1528838073,Normal,0,,0,,4,MEO Corp,1,1,39,42,31,52,0x52af787439a82f36d6ef6b0da0f0e5ecce29ff90,0x4ce15b37851a4448a28899062906a02e51dee267,1529751194,0x257547b6306488fb9f1127d1e6a4e4b07879b74cb347cb6755831714ec744caf,0.089
21,4411,https://storage.googleapis.com/assets.axieinfinity.com/axies/4411/axie/axie-full-transparent.png,Beast,ronin,Axie #4411,1528838362,Normal,0,,0,,4,MEO Corp,3,1,36,42,31,55,0x665498c14f80647d2a57a1f54eee4aaa9920fae8,0x2643796cb6b4e715140f09c352ea26afff1a7d93,1529322636,0x527a7e2d9f043e2c3386caf3cdacb44d749d00ae76a5373ed0997aca336b6afa,0.0786
22,4412,https://storage.googleapis.com/assets.axieinfinity.com/axies/4412/axie/axie-full-transparent.png,Beast,ronin,Axie #4412,1528844104,Normal,0,,0,,4,MEO Corp,0,1,38,43,31,52,0x025452a70f780e2940e89059e3df51b712066207,0x42d97b2d395c6ab73c43c37e9d9789261dce0b8f,1615672534,0x69b951304da07093a91a1c9b3672121bc534d8b9e531028d2057950b3037a02e,0.85208243
23,4413,https://storage.googleapis.com/assets.axieinfinity.com/axies/4413/axie/axie-full-transparent.png,Plant,ronin,Tanuki,1528844137,Normal,0,,0,,4,MEO Corp,0,1,50,35,31,48,0x025452a70f780e2940e89059e3df51b712066207,0x159584c7f2a479fe24801199f2861feb734e8efe,1615592414,0xb29e73524135f5517e45e9869c0af8953c303cde9022abb41789906b384af820,1.0
24,4413,https://storage.googleapis.com/assets.axieinfinity.com/axies/4413/axie/axie-full-transparent.png,Plant,ronin,Tanuki,1528844137,Normal,0,,0,,4,MEO Corp,0,1,50,35,31,48,0x6be72e8987e8453759981a09430c9a6182061888,0xc2007bb2823eca1ba457980dac1c92cfcaf9c127,1628101632,0x7bc78696d60f0b305c2528519fb717c1e09d026dd15c98424734f61f7d71813a,2.2
25,4414,https://storage.googleapis.com/assets.axieinfinity.com/axies/4414/axie/axie-full-transparent.png,Aquatic,ronin,Axie #4414,1528854900,Normal,0,,0,,4,MEO Corp,7,1,43,48,35,38,0x4049f44a6c3d5552c0be7a7e9f7e212941fe567b,0x0bfc8c3e3df4e1d0b05e76c27196427971d98fc8,1623341500,0x6e126a8a5a8945c62604e610405ddcecf15e9665e55569f13d83881a7f2e5557,0.39490002
26,4414,https://storage.googleapis.com/assets.axieinfinity.com/axies/4414/axie/axie-full-transparent.png,Aquatic,ronin,Axie #4414,1528854900,Normal,0,,0,,4,MEO Corp,7,1,43,48,35,38,0xcb36db6d41ee624fd51e0bc13f02a47f6337b80b,0x4049f44a6c3d5552c0be7a7e9f7e212941fe567b,1622540406,0xd7ddbfe56236facfcf51c6e1548f58f5d4ea2da790c7a241bd92e35d40846d92,0.53000003
27,4415,https://storage.googleapis.com/assets.axieinfinity.com/axies/4415/axie/axie-full-transparent.png,Aquatic,ronin,AquaMEO Star,1528854940,Normal,0,,0,,4,MEO Corp,6,1,42,52,35,35,0xcbb5e98c1890f60114748899e8344296c5e7209a,0x665498c14f80647d2a57a1f54eee4aaa9920fae8,1594269535,0x093fd55d48c5bc944e198f69b8e0f491f0eb8fb7c4a8e3a9d3d996afe44412c6,0.2
28,4415,https://storage.googleapis.com/assets.axieinfinity.com/axies/4415/axie/axie-full-transparent.png,Aquatic,ronin,AquaMEO Star,1528854940,Normal,0,,0,,4,MEO Corp,6,1,42,52,35,35,0x870ba8006efa44c8adf0097086b6271a52646bf1,0x18ad111b2584b55093b5b4cbce9374c3a0e8cfed,1581012378,0x501b2051bf99cae4b15a432c9a4a3cb2be844f8f1a7ce915a4e724d4ff213e88,0.17833102
