txHash,id,image,class,chain,name,birthDate,bodyShape,sireId,sireClass,matronId,matronClass,stage,title,breedCount,level,hp,speed,skill,morale,from,to,timestamp,withPrice
0xa8e3e3506c398fa0b2202b7bfa85ee6f7d1c40a0c92a710a8103c3851345c126,5179774,https://storage.googleapis.com/assets.axieinfinity.com/axies/5179774/axie/axie-full-transparent.png,Dusk,ronin,49hp😎45spd 5only,1630161600,Normal,6755,Dusk,7206,Reptile,4,,0,1,49,45,27,43,0x78c912c5b1bd6e58d9ab7da16ddf7b6eecf591a3,0x3609b2dbd8c3956f24732ef1d27be56b56b98782,1631745455,0.06498945
0xc4e7d092a241ea036224e8076b56fa849903fae67c2772697336d88ac7e4cbaa,5111837,https://storage.googleapis.com/assets.axieinfinity.com/axies/5111837/axie/axie-full-transparent.png,Reptile,ronin,Best anti-meta back liner,1630067159,Normal,60706,Reptile,60354,Reptile,4,,3,1,48,38,31,47,0xc6047076cadfde4123801f6cf97b53415445c83f,0xb3e660165fcf722bbf320c1130cd1aef0218810a,1631596024,0.2
0x41fde375a2381130d65fd4d39e016a14493c618780a0904e496ef8919fa1c9de,5111837,https://storage.googleapis.com/assets.axieinfinity.com/axies/5111837/axie/axie-full-transparent.png,Reptile,ronin,Best anti-meta back liner,1630067159,Normal,60706,Reptile,60354,Reptile,4,,3,1,48,38,31,47,0xd5ff93f422d54490d7b712aa984205a8c553ec6a,0xc6047076cadfde4123801f6cf97b53415445c83f,1631243987,0.19000001
0x36c81222d6e1ae03405720f4b90f040f9db5f8f23c56e6a5454eb02f9e179791,5111837,https://storage.googleapis.com/assets.axieinfinity.com/axies/5111837/axie/axie-full-transparent.png,Reptile,ronin,Best anti-meta back liner,1630067159,Normal,60706,Reptile,60354,Reptile,4,,3,1,48,38,31,47,0x04460d5c54281edf549a8d7fc6daae2546e93c11,0xd5ff93f422d54490d7b712aa984205a8c553ec6a,1631104024,0.18031034
0x6f46185612a4f79a92149ebeecc836f36ed0238911661e141c0f9dbd16f28102,229161,https://storage.googleapis.com/assets.axieinfinity.com/axies/229161/axie/axie-full-transparent.png,Aquatic,ronin,VigaAquatic #1,1607893857,Normal,21715,Aquatic,21762,Aquatic,4,,2,1,47,52,35,30,0x95a437e4cf18cf243a3a46d3798904b635e25d81,0x64e6829ff523412acfe78b06b32c9c526a845c9e,1609378487,0.046786293
0xd4d6d8a747e38ca7bf3f1a4a3d3e28c2e2d399f2ff6ca81b1b1e54a3e7a4cc0a,2557320,https://storage.googleapis.com/assets.axieinfinity.com/axies/2557320/axie/axie-full-transparent.png,Bug,ronin,Suporte/Shildpower,1626882166,Normal,46951,Bird,50829,Bug,4,,2,1,41,40,35,48,0x8ac77388dde1c6e893c4ede3d20d3572b60ab1ad,0x08b4dd428f39a7b58d3235e30e1c6f0ebc412732,1627891878,0.14483124
0x10203daa1f186dcf911525871e3633825ce9684a8dd4138c3b0b18d6d63b0a06,2557320,https://storage.googleapis.com/assets.axieinfinity.com/axies/2557320/axie/axie-full-transparent.png,Bug,ronin,Suporte/Shildpower,1626882166,Normal,46951,Bird,50829,Bug,4,,2,1,41,40,35,48,0x09e2662fa68c1ad7366a0d4d981d582a9f66bb48,0x80555caa0a11bc102b778141fc0e062fb433f871,1627380054,0.1675
0xce7aa5249370f0b3622e6072129764d4893de61312d8c23b570cebc1add94938,2557320,https://storage.googleapis.com/assets.axieinfinity.com/axies/2557320/axie/axie-full-transparent.png,Bug,ronin,Suporte/Shildpower,1626882166,Normal,46951,Bird,50829,Bug,4,,2,1,41,40,35,48,0x6bb10e13df1670b3b612986457a56de27bcbd4c4,0x09e2662fa68c1ad7366a0d4d981d582a9f66bb48,1627357329,0.15709376
0x544248deeed97521c6b992f1266e0863d86b3389ee477ac02e54bf36dc76a4c7,4122896,https://storage.googleapis.com/assets.axieinfinity.com/axies/4122896/axie/axie-full-transparent.png,Aquatic,ronin,NIMO 3,1628835654,Normal,32544,Aquatic,40623,Aquatic,4,,3,1,45,57,35,27,0x9c16c6dbb5a8d407be134ef139410681087838db,0xe76c5f4e50aea597f9e013df2bce9277acd56ab0,1631301901,0.148
0x3a6a9663b8b35ef491849b1d0d774d3760943bf979234db301e68ec3b5e71f12,3000813,https://storage.googleapis.com/assets.axieinfinity.com/axies/3000813/axie/axie-full-transparent.png,Aquatic,ronin,BACKDOOR⚔️Bird⚔️Beast ,1627577196,Normal,59536,Aquatic,11293,Aquatic,4,,1,1,47,51,35,31,0x7e0b8d324f50fc1cf28055187142e9c892d384f2,0xb47c4cac570878f8b110bb2648251dc7d87f5ff6,1629471947,0.09
0xdedb41701a80af237d5a47616b7f328a9ffd64dcdccc8bd4b096eab5d3a8bfc4,3000813,https://storage.googleapis.com/assets.axieinfinity.com/axies/3000813/axie/axie-full-transparent.png,Aquatic,ronin,BACKDOOR⚔️Bird⚔️Beast ,1627577196,Normal,59536,Aquatic,11293,Aquatic,4,,1,1,47,51,35,31,0x1e486d5a821f2a1ee72d1a32c7602173ab5de6ea,0x7e0b8d324f50fc1cf28055187142e9c892d384f2,1629001425,0.0699
0xb2b2a217a917660c5b6618f5028816a0010389e80968862444c7750de15ee1d9,3000813,https://storage.googleapis.com/assets.axieinfinity.com/axies/3000813/axie/axie-full-transparent.png,Aquatic,ronin,BACKDOOR⚔️Bird⚔️Beast ,1627577196,Normal,59536,Aquatic,11293,Aquatic,4,,1,1,47,51,35,31,0xb3db921cfda46df4d329def7e18d6c2f8d719291,0xb1f84c818141ba91d73e5bb92580239ae14a9f97,1628926111,0.07
